ID,Name,Centroid
C301,Wangelnstedt,POINT (9.671588683660312 51.85972658294111)
C302,Boffzen,POINT (9.436855514979934 51.73576858722829)
C303,Eimen,POINT (9.736607680819889 51.90527709255151)
C304,Eschershausen,POINT (9.685198918870519 51.94439190001783)
C305,Grünenplan,POINT (9.73097229331408 51.94791764358378)
C306,Holzminden,POINT (9.519550738280705 51.8213349218228)
C307,Merxhausen,POINT (9.575883886004776 51.82126776411722)
C308,Wenzen,POINT (9.8056114299023 51.90408802947058)
C309,Nienburg (Weser),POINT (9.232698783874417 52.639214033039465)
C310,Rehburg-Loccum,POINT (9.192595374804615 52.46613312549377)
C311,Steyerberg,POINT (8.982271071714395 52.58701573167629)
C312,Drakenburg,POINT (9.217317087759225 52.69073547132969)
C313,Haßbergen,POINT (9.251308364003235 52.73906625384754)
C314,Heemsen,POINT (9.308688654799049 52.713394520224625)
C315,Rohrsen,POINT (9.237851920097905 52.71395013189076)
C316,Linsburg,POINT (9.319349606698259 52.586689513214864)
C317,Rodewald,POINT (9.471251887719715 52.67783303287754)
C318,Steimbke,POINT (9.378895318784526 52.67586409316484)
C319,Stöckse,POINT (9.34257117361748 52.63195067913983)
C320,Diepenau,POINT (8.746422248641935 52.454792734331896)
C321,Raddestorf,POINT (8.94798515335223 52.45067383868135)
C322,Uchte,POINT (8.878357714709141 52.51840804937779)
C323,Warmsen,POINT (8.841402761044144 52.43932677276667)
C324,Bücken,POINT (9.117375679000292 52.7806114632482)
C325,Eystrup,POINT (9.237116240271332 52.77449025798106)
C326,Gandesbergen,POINT (9.24515940304955 52.75730685070564)
C327,Hämelhausen,POINT (9.277169598308328 52.78220010444461)
C328,Hassel (Weser),POINT (9.241801460687272 52.801608164911336)
C329,Hilgermissen,POINT (9.152615755439697 52.85589181869202)
C330,Hoya,POINT (9.150371650067074 52.80618888721935)
C331,Hoyerhagen,POINT (9.081973962859584 52.824530554510204)
C332,Schweringen,POINT (9.170084486958805 52.749312482468525)
C333,Warpe,POINT (9.08603736640786 52.74519964297532)
C334,Estorf,POINT (9.154305665505493 52.58927319993775)
C335,Husum,POINT (9.255156440493385 52.572271728900816)
C336,Landesbergen,POINT (9.162612759000835 52.550766803020856)
C337,Leese,POINT (9.135647412958132 52.50564523778749)
C338,Stolzenau,POINT (9.022900845991892 52.51334914899602)
C339,Balge,POINT (9.160233922434166 52.70549642084107)
C340,Binnen,POINT (9.099979637033163 52.630600259412766)
C341,Liebenau,POINT (9.09098904572 52.60945178893738)
C342,Marklohe,POINT (9.137078594520403 52.662280021106014)
C343,Pennigsehl,POINT (9.016810287613733 52.63562780774301)
C344,Wietzen,POINT (9.068496886120736 52.69864457631997)
C345,Auetal,POINT (9.242723014650709 52.23907079366041)
C346,Bückeburg,POINT (9.039457509533726 52.29213762722578)
C347,Obernkirchen,POINT (9.145211286966454 52.263519315675275)
C348,Rinteln,POINT (9.110974074129269 52.17488073013469)
C349,Stadthagen,POINT (9.21755636500039 52.30712247212053)
C350,Ahnsen,POINT (9.096945727118747 52.257289803604436)
C351,Bad Eilsen,POINT (9.097067202235305 52.24319560949718)
C352,Buchholz,POINT (9.127153088117698 52.22533415099384)
C353,Heeßen,POINT (9.107882793208915 52.230368962044054)
C354,Luhden,POINT (9.086297905723061 52.22729829452746)
C355,Beckedorf,POINT (9.308855893320972 52.34327123286728)
C356,Heuerßen,POINT (9.279419739239652 52.33659917160398)
C357,Lindhorst,POINT (9.287655828202146 52.36061301386199)
C358,Lüdersfeld,POINT (9.251348127548063 52.35582115975778)
C359,Bad Nenndorf,POINT (9.372999826467728 52.34158615426665)
C360,Haste,POINT (9.397101052990044 52.38570751189238)
C361,Hohnhorst,POINT (9.356704838881596 52.36814434640807)
C362,Suthfeld,POINT (9.399440809364005 52.36177027163608)
